Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,5.389654,1.622020,4.531915,1.418090,1,0.020000,0,0.000000,16,0.320000,7,0.140000,220467.093750,0.152107
0,30,41,50,10,0,10,4,10,0,10,4,1,1,29.409576,3.739486,5.292105,1.608965,4.364945,1.365064,1,0.024390,0,0.000000,6,0.146341,8,0.195122,268923.218750,0.090109
1,0,49,50,17,0,17,4,7,0,7,0,16,15,46.486721,21.997549,5.096211,1.654036,4.320994,1.292554,0,0.000000,0,0.000000,3,0.061224,11,0.224490,246512.968750,0.036513
1,30,54,55,26,0,26,6,9,0,9,2,30,14,63.742134,32.642853,4.870566,1.557881,4.457743,1.396414,0,0.000000,0,0.000000,5,0.092593,9,0.166667,244576.828125,0.050448
2,0,45,55,52,1,51,17,26,1,25,11,47,17,72.945908,44.451305,4.576649,1.389915,4.085106,1.194901,0,0.000000,0,0.000000,4,0.088889,3,0.066667,218117.640625,0.165569
2,30,32,55,80,2,78,30,28,1,27,13,62,15,78.559761,52.769066,4.121875,0.995300,3.696808,0.796264,0,0.000000,0,0.000000,1,0.031250,5,0.156250,231057.437500,0.097512
3,0,35,55,92,3,89,33,12,1,11,3,77,15,77.241592,63.341061,3.931360,0.698364,3.594224,0.948756,0,0.000000,0,0.000000,1,0.028571,7,0.200000,231578.859375,0.065307
3,30,31,55,106,3,103,38,14,0,14,5,87,10,83.764709,69.918007,3.914422,0.613081,3.203500,0.709883,0,0.000000,0,0.000000,1,0.032258,10,0.322581,248128.875000,0.029905
4,0,31,55,118,4,114,40,12,1,11,2,99,12,88.081367,72.575897,3.804856,0.737179,3.314173,0.882797,1,0.032258,0,0.000000,1,0.032258,6,0.193548,260291.546875,0.024564
4,30,42,55,122,4,118,42,4,0,4,2,114,15,88.568069,79.471275,3.656402,0.787118,3.432751,0.917739,1,0.023810,0,0.000000,2,0.047619,9,0.214286,259095.171875,0.009916
5,0,53,55,125,4,121,45,3,0,3,3,128,14,97.854767,81.550323,3.702710,0.821276,3.415295,0.860319,2,0.037736,0,0.000000,2,0.037736,12,0.226415,234818.062500,0.009972
5,30,65,66,140,5,135,49,15,1,14,4,155,27,89.340218,86.057076,3.643179,0.786266,3.367840,0.826644,1,0.015385,0,0.000000,4,0.061538,11,0.169231,230257.484375,0.026144
6,0,85,85,146,6,140,49,6,1,5,0,181,26,86.735428,80.069839,3.677133,0.789957,3.352942,0.792922,2,0.023529,0,0.000000,5,0.058824,23,0.270588,213861.281250,0.012746
6,30,117,117,151,6,145,49,5,0,5,0,218,37,85.948425,83.696350,3.788196,0.764755,3.232633,0.772420,2,0.017094,0,0.000000,4,0.034188,40,0.341880,214184.953125,0.007628
7,0,143,143,164,7,157,50,13,1,12,1,257,39,91.140755,84.229576,3.723016,0.787165,3.312750,0.779227,2,0.013986,0,0.000000,5,0.034965,48,0.335664,195852.468750,0.018649
7,30,168,168,179,9,170,51,15,2,13,1,297,40,95.751961,83.145683,3.716897,0.772245,3.321143,0.771365,2,0.011905,0,0.000000,9,0.053571,54,0.321429,190622.250000,0.019289
