Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,4.926776,1.213920,5.178192,1.467557,0,0.000000,0,0.000000,18,0.360000,18,0.360000,350006.031250,0.021514
0,30,53,53,0,0,0,0,0,0,0,0,3,3,28.774950,5.074361,4.891027,1.193623,5.082799,1.535752,0,0.000000,0,0.000000,19,0.358491,21,0.396226,345678.312500,0.000000
1,0,65,65,3,0,3,3,3,0,3,3,18,15,48.517941,20.927576,4.830045,1.153394,5.103520,1.477140,0,0.000000,0,0.000000,22,0.338462,30,0.461538,346749.187500,0.000000
1,30,81,81,7,1,6,6,4,1,3,3,38,20,63.836479,33.791225,4.821484,1.119557,5.115577,1.413600,0,0.000000,0,0.000000,26,0.320988,34,0.419753,346788.281250,0.000000
2,0,94,97,21,7,14,8,14,6,8,2,65,27,72.500656,46.566235,4.898184,1.163791,5.112891,1.358969,0,0.000000,0,0.000000,28,0.297872,44,0.468085,346198.468750,0.006536
2,30,97,98,39,19,20,11,18,12,6,3,86,21,79.120872,53.952122,4.992727,1.169850,5.135722,1.333410,0,0.000000,0,0.000000,31,0.319588,49,0.505155,345793.250000,0.000507
3,0,111,111,51,27,24,14,12,8,4,3,112,26,84.460052,60.868893,4.939937,1.085479,5.172274,1.233250,0,0.000000,0,0.000000,34,0.306306,63,0.567568,345154.000000,0.000002
3,30,109,113,73,41,32,17,22,14,8,3,132,20,90.169266,65.303047,5.052416,1.060369,5.114435,1.043776,0,0.000000,0,0.000000,39,0.357798,69,0.633027,344956.500000,0.000011
4,0,121,121,88,54,34,18,15,13,2,1,159,27,91.301620,70.319733,5.194921,1.028058,5.061764,1.033314,0,0.000000,0,0.000000,45,0.371901,78,0.644628,345134.343750,0.000000
4,30,115,124,118,72,46,24,30,18,12,6,183,24,96.011124,74.753746,5.193555,0.891611,5.112167,1.022628,0,0.000000,0,0.000000,50,0.434783,78,0.678261,344163.375000,0.000331
5,0,117,124,139,89,50,27,21,17,4,3,206,23,100.448425,80.341782,5.293270,0.836644,5.206627,1.062519,0,0.000000,0,0.000000,53,0.452991,83,0.709402,347840.968750,0.000002
5,30,107,124,157,105,52,28,18,16,2,1,214,8,114.167847,79.928856,5.353653,0.828153,5.270431,1.109721,0,0.000000,0,0.000000,50,0.467290,79,0.738318,348311.718750,0.000000
6,0,95,124,178,121,57,31,21,16,5,3,223,9,119.414902,75.836670,5.421944,0.842624,5.346583,1.118776,0,0.000000,0,0.000000,42,0.442105,74,0.778947,348260.750000,0.000000
6,30,85,124,200,137,63,35,22,16,6,4,235,12,121.994987,75.898659,5.472517,0.839245,5.418647,1.141145,0,0.000000,0,0.000000,38,0.447059,68,0.800000,348418.968750,0.000000
6,59,77,124,224,155,69,38,24,18,6,3,251,16,106.212349,74.976364,5.462729,0.777619,5.447291,1.206937,0,0.000000,0,0.000000,40,0.519481,63,0.818182,348561.812500,0.000000
7,29,80,124,235,162,73,42,11,7,4,4,265,14,108.016922,75.949005,5.501557,0.751854,5.463429,1.233730,0,0.000000,0,0.000000,40,0.500000,66,0.825000,348573.437500,0.000000
7,59,80,124,244,167,77,44,9,5,4,2,274,9,116.315964,78.924065,5.480822,0.751221,5.543216,1.210682,0,0.000000,0,0.000000,44,0.550000,69,0.862500,348574.156250,0.000000
8,30,82,124,256,176,80,47,12,9,3,3,288,14,120.524696,86.422958,5.511415,0.725212,5.510506,1.280545,0,0.000000,0,0.000000,43,0.524390,72,0.878049,348828.562500,0.000000
9,0,79,124,272,190,82,48,16,14,2,1,301,13,111.703804,77.901840,5.581929,0.728943,5.455829,1.338282,0,0.000000,0,0.000000,42,0.531646,70,0.886076,348807.218750,0.000000
9,30,66,124,298,207,91,56,26,17,9,8,314,13,113.020874,80.423447,5.669548,0.811852,5.502096,1.331233,0,0.000000,0,0.000000,33,0.500000,59,0.893939,345449.656250,0.012616
10,0,67,124,313,217,96,60,15,10,5,4,330,16,110.012062,89.852219,5.660301,0.737401,5.391790,1.308956,0,0.000000,0,0.000000,36,0.537313,62,0.925373,349024.031250,0.000000
10,30,65,124,324,221,103,66,11,4,7,6,339,9,118.631981,95.483185,5.656395,0.663787,5.254500,1.298553,0,0.000000,0,0.000000,33,0.507692,62,0.953846,344921.781250,0.000000
10,59,48,124,350,226,124,77,26,5,21,11,348,9,117.964867,98.879601,5.756516,0.702429,5.224956,1.201036,0,0.000000,0,0.000000,25,0.520833,46,0.958333,324523.593750,0.093254
11,29,30,124,381,230,151,91,31,4,27,14,361,13,102.533089,95.241821,5.897819,0.759540,4.423760,0.832475,0,0.000000,0,0.000000,7,0.233333,28,0.933333,270349.562500,0.439390
11,59,24,124,404,230,174,102,23,0,23,11,378,17,109.044456,102.145973,5.821243,0.609364,4.142288,0.761518,0,0.000000,0,0.000000,2,0.083333,22,0.916667,229633.000000,0.706469
12,29,5,124,427,230,197,109,23,0,23,7,382,4,137.448196,53.125298,5.339627,0.510825,4.106383,0.525116,0,0.000000,0,0.000000,0,0.000000,4,0.800000,208429.843750,0.956993
12,59,1,124,433,230,203,113,6,0,6,4,384,2,185.962997,0.000000,6.287500,0.000000,3.909575,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,208088.593750,0.901872
