Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,5.215878,1.580184,4.678723,1.219836,1,0.020000,0,0.000000,13,0.260000,10,0.200000,0.000000,0.000000
0,28,51,51,1,0,1,0,1,0,1,0,2,2,27.165808,4.330698,5.124343,1.550131,4.668857,1.206007,1,0.019608,0,0.000000,13,0.254902,12,0.235294,271076.687500,0.019467
0,58,54,56,12,0,12,4,11,0,11,4,16,14,49.603100,17.597929,5.033422,1.596442,4.697104,1.156730,1,0.018519,0,0.000000,7,0.129630,16,0.296296,210759.718750,0.077619
1,27,65,68,27,0,27,9,15,0,15,5,42,26,64.639877,32.297592,4.843413,1.423722,4.632161,1.092032,1,0.015385,0,0.000000,8,0.123077,21,0.323077,275907.687500,0.067678
1,57,69,69,43,0,43,13,16,0,16,4,62,20,78.608070,47.404877,4.911483,1.475773,4.777983,1.146002,1,0.014493,0,0.000000,7,0.101449,27,0.391304,240776.156250,0.080381
2,27,79,80,55,5,50,19,12,5,7,6,84,22,83.872215,57.254261,4.879357,1.259196,4.760301,1.119459,2,0.025316,0,0.000000,9,0.113924,34,0.430380,347105.343750,0.000024
2,57,85,88,62,11,51,19,7,6,1,0,97,13,98.167130,63.604599,4.908749,1.190974,4.801939,1.136661,2,0.023529,0,0.000000,12,0.141176,40,0.470588,345427.593750,0.000000
3,27,100,100,70,17,53,20,8,6,2,1,120,23,99.888031,71.754349,4.995762,1.148141,4.755319,1.165592,2,0.020000,0,0.000000,11,0.110000,46,0.460000,344917.750000,0.000016
3,57,112,114,86,33,53,20,16,16,0,0,148,28,99.674141,79.340302,5.213622,0.941066,4.887680,1.086525,3,0.026786,0,0.000000,10,0.089286,61,0.544643,291033.312500,0.044276
4,27,122,124,102,48,54,20,16,15,1,0,174,26,99.028976,82.600212,5.220496,0.895804,4.903207,1.003142,4,0.032787,0,0.000000,11,0.090164,78,0.639344,348198.781250,0.006446
4,57,118,124,118,63,55,20,16,15,1,0,186,12,112.255844,84.111435,5.340297,0.834274,4.923367,1.009227,4,0.033898,0,0.000000,8,0.067797,72,0.610169,348341.187500,0.000213
5,27,108,124,141,86,55,20,23,23,0,0,199,13,106.273674,71.328018,5.354255,0.874563,4.953210,1.011816,5,0.046296,0,0.000000,6,0.055556,66,0.611111,349395.312500,0.000000
5,57,97,124,166,110,56,21,25,24,1,1,213,14,99.689735,61.607731,5.278012,0.906659,4.934744,0.993442,4,0.041237,0,0.000000,7,0.072165,61,0.628866,349143.781250,0.000003
6,27,83,124,189,131,58,22,23,21,2,1,222,9,104.786087,62.986465,5.297438,0.861735,4.944245,1.001419,3,0.036145,0,0.000000,4,0.048193,51,0.614458,349151.218750,0.000000
6,57,71,124,211,144,67,29,22,13,9,7,232,10,102.507133,55.770535,5.352978,0.862888,4.887998,1.028770,4,0.056338,0,0.000000,2,0.028169,33,0.464789,349178.343750,0.000000
7,27,68,124,221,151,70,30,10,7,3,1,239,7,115.291779,60.701973,5.388029,0.775837,4.845510,1.064761,3,0.044118,0,0.000000,1,0.014706,33,0.485294,349080.843750,0.000000
7,57,64,124,233,159,74,32,12,8,4,2,247,8,124.730331,73.453163,5.398049,0.777126,4.852893,1.070406,2,0.031250,0,0.000000,1,0.015625,33,0.515625,349042.781250,0.000000
8,27,53,124,248,166,82,35,15,7,8,3,251,4,136.351593,75.759865,5.512510,0.728910,4.945805,1.137573,2,0.037736,0,0.000000,0,0.000000,28,0.528302,349116.656250,0.000001
8,57,50,124,260,173,87,38,12,7,5,3,260,9,129.954163,83.743141,5.406506,0.744294,5.016490,1.058656,2,0.040000,0,0.000000,0,0.000000,28,0.560000,349116.375000,0.000029
9,27,42,124,275,182,93,42,15,9,6,4,267,7,125.817802,88.992332,5.401690,0.775124,4.979737,1.056759,1,0.023810,0,0.000000,0,0.000000,21,0.500000,349203.437500,0.000000
9,57,38,124,284,189,95,43,9,7,2,1,272,5,125.046539,90.783539,5.414461,0.782084,5.026596,1.010122,1,0.026316,0,0.000000,0,0.000000,19,0.500000,349288.687500,0.000000
10,27,35,124,291,194,97,44,7,5,2,1,276,4,126.123817,96.694778,5.449461,0.705759,4.911854,1.094574,0,0.000000,0,0.000000,0,0.000000,20,0.571429,349309.125000,0.000010
10,57,25,124,303,201,102,48,12,7,5,4,278,2,120.486160,81.775551,5.422830,0.700736,5.013830,1.003308,0,0.000000,0,0.000000,0,0.000000,17,0.680000,351130.687500,0.000000
11,27,18,124,312,207,105,51,9,6,3,3,280,2,135.525818,94.877075,5.480052,0.733253,5.215721,0.754739,0,0.000000,0,0.000000,0,0.000000,12,0.666667,349735.562500,0.000059
11,57,21,124,316,210,106,51,4,3,1,0,287,7,109.330391,103.739487,5.550266,0.871785,5.087387,0.789134,0,0.000000,0,0.000000,0,0.000000,12,0.571429,349860.781250,0.000004
12,27,18,124,321,213,108,53,5,3,2,2,289,2,110.463898,104.738129,5.547340,0.942080,5.063535,0.848342,0,0.000000,0,0.000000,0,0.000000,12,0.666667,349704.718750,0.000000
12,57,15,124,326,217,109,54,5,4,1,1,291,2,114.250587,112.333282,5.555532,0.989019,4.943262,0.827914,0,0.000000,0,0.000000,0,0.000000,11,0.733333,349764.343750,0.000000
13,27,15,124,329,218,111,56,3,1,2,2,294,3,124.208862,117.377777,5.555532,0.989019,4.918440,0.818842,0,0.000000,0,0.000000,0,0.000000,11,0.733333,349719.906250,0.000000
13,57,15,124,334,220,114,57,5,2,3,1,299,5,116.734734,131.864227,5.523935,0.988963,5.031915,0.877751,0,0.000000,0,0.000000,0,0.000000,10,0.666667,349863.031250,0.000000
14,27,13,124,338,222,116,59,4,2,2,2,301,2,105.790230,67.694054,5.604950,1.038890,5.012276,0.941320,0,0.000000,0,0.000000,0,0.000000,8,0.615385,349852.062500,0.000000
14,57,9,124,345,224,121,61,7,2,5,2,304,3,116.391563,64.160179,5.766755,1.152296,4.577423,0.795252,0,0.000000,0,0.000000,0,0.000000,7,0.777778,349968.781250,0.000000
15,27,9,124,348,225,123,62,3,1,2,1,307,3,87.226112,68.535957,6.091489,1.272946,4.473995,1.013262,0,0.000000,0,0.000000,1,0.111111,6,0.666667,349955.593750,0.000000
15,57,5,124,352,225,127,63,4,0,4,1,307,0,120.728600,75.137436,5.534468,1.153786,4.994681,0.963691,0,0.000000,0,0.000000,0,0.000000,4,0.800000,349961.093750,0.000000
16,27,7,124,352,225,127,63,0,0,0,0,309,2,111.072708,89.308754,5.298252,1.050259,5.239362,0.985633,0,0.000000,0,0.000000,0,0.000000,6,0.857143,349943.093750,0.000000
16,57,8,124,352,225,127,63,0,0,0,0,310,1,126.253494,92.288353,5.204687,1.013136,5.408910,1.025311,0,0.000000,0,0.000000,0,0.000000,7,0.875000,349912.750000,0.000000
17,27,10,124,353,226,127,63,1,1,0,0,313,3,109.023804,99.393234,5.139521,0.914990,5.340426,0.926952,0,0.000000,0,0.000000,0,0.000000,9,0.900000,349908.812500,0.000000
17,57,10,124,354,226,128,64,1,0,1,1,314,1,123.385887,107.210564,5.102660,0.930452,5.489362,0.994567,0,0.000000,0,0.000000,0,0.000000,9,0.900000,349892.218750,0.000000
18,27,9,124,356,226,130,65,2,0,2,1,315,1,158.191666,113.703896,5.401064,1.121139,5.277778,1.028072,0,0.000000,0,0.000000,0,0.000000,7,0.777778,349588.750000,0.000000
18,57,7,124,364,227,137,69,8,1,7,4,321,6,128.002563,137.574646,5.200456,1.092218,5.391337,1.059901,0,0.000000,0,0.000000,0,0.000000,6,0.857143,347800.406250,0.033059
19,27,8,124,366,227,139,69,2,0,2,0,324,3,132.070755,143.578232,5.178357,1.021992,5.216091,0.928039,0,0.000000,0,0.000000,0,0.000000,7,0.875000,349909.468750,0.000000
19,57,7,124,367,227,140,69,1,0,1,0,324,0,179.494278,145.373810,5.215501,1.087493,5.231763,0.991125,0,0.000000,0,0.000000,0,0.000000,6,0.857143,349908.562500,0.000000
20,27,8,124,370,229,141,70,3,2,1,1,328,4,131.910629,163.140106,5.125698,1.044636,5.372341,0.994766,0,0.000000,0,0.000000,0,0.000000,7,0.875000,349837.687500,0.000000
